product,product_group,product_type,franchise,gender,margin,yearly_targets,daily_targets,country,channel,rrp,sales_qty,discount,sales,cost price,profit,date,image_url
Product HYB38,Group B,Type X,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Y,30,265,0.05,2927.5,356.25,71.25,14-10-2022,http://assets.myntassets.com/v1/images/style/properties/Police-Men-Steel-Dial-Watch_51e58f90f98b042641c9b54f09b54fd6_images.jpg
Product XAPPX,Group A,Type Y,Franchise B,M,0.3,200000,547.9452055,Country A,Channel X,20,267,0.1,2806,235.3846154,70.61538462,31-10-2022,http://assets.myntassets.com/v1/images/style/properties/2e25195b2eaba31b89a991f2e0dbd532_images.jpg
Product SEF8W,Group A,Type Z,Franchise A,M,0.3,200000,547.9452055,Country B,Channel Y,20,324,0.1,3832,1024.615385,307.3846154,21-07-2022,http://assets.myntassets.com/v1/images/style/properties/ea051d39d65bfdcba994e6cd49061bd7_images.jpg
Product II0V9,Group C,Type X,Franchise C,M,0.3,200000,547.9452055,Country C,Channel Y,30,292,0.15,3571,823.8461538,247.1538462,01-04-2022,http://assets.myntassets.com/v1/images/style/properties/Estelle-Earrings_7271511bf974f34b0c0e80431617e034_images.jpg
Product 1B1ET,Group C,Type X,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Z,10,281,0.15,2763.5,219.5833333,43.91666667,27-04-2022,http://assets.myntassets.com/v1/images/style/properties/144954d20ce2e31fe6953f3e249e9a68_images.jpg
Product O73DQ,Group A,Type Z,Franchise A,M,0.2,300000,821.9178082,Country B,Channel Y,10,324,0.05,3203,585.8333333,117.1666667,28-02-2022,http://assets.myntassets.com/v1/images/style/properties/a6ea6713bae041ef4f62d3612586d1ef_images.jpg
Product B44GA,Group C,Type Z,Franchise C,M,0.3,100000,273.9726027,Country B,Channel Y,20,342,0.15,4064,1203.076923,360.9230769,12-01-2022,http://assets.myntassets.com/v1/images/style/properties/e9266175735b50a2f6d100ae2ef44fe6_images.jpg
Product F5CMJ,Group B,Type Y,Franchise C,M,0.2,300000,821.9178082,Country C,Channel Y,10,309,0.15,3001.5,417.9166667,83.58333333,25-12-2022,http://assets.myntassets.com/v1/images/style/properties/8f3b9f4c5f554e39681567b22985966e_images.jpg
Product PTBUB,Group C,Type Y,Franchise B,M,0.2,100000,273.9726027,Country A,Channel X,20,320,0.1,3760,1050,210,18-05-2022,http://assets.myntassets.com/v1/images/style/properties/fae0ae76d008674551fbdbb64988ea51_images.jpg
Product T0235,Group B,Type Y,Franchise A,M,0.2,300000,821.9178082,Country B,Channel X,20,266,0.1,2788,240,48,08-12-2022,http://assets.myntassets.com/v1/images/style/properties/58c4b740c2d2e9b52c6900579c7ff2d2_images.jpg
Product BD1MF,Group B,Type X,Franchise C,M,0.3,100000,273.9726027,Country C,Channel X,20,312,0.1,3616,858.4615385,257.5384615,03-12-2022,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-White-and-Navy-Blue-Stripe-Polo-T-shirt_a81acd98afcadd66fa8ee8531c82ad46_images.jpg
Product BUTPB,Group A,Type Y,Franchise B,M,0.2,300000,821.9178082,Country A,Channel Z,10,316,0.05,3127,522.5,104.5,23-05-2022,http://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg
Product JN6ZX,Group A,Type X,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Y,20,298,0.05,3412,701.5384615,210.4615385,01-08-2022,http://assets.myntassets.com/v1/images/style/properties/9d4d7aa206e22813311c0a0406ce02a4_images.jpg
Product BPD8G,Group A,Type Z,Franchise C,M,0.3,300000,821.9178082,Country B,Channel X,10,261,0.15,2593.5,71.92307692,21.57692308,22-12-2022,http://assets.myntassets.com/v1/images/style/properties/Colour-me-Men-Gold-Deo_73efa9034af7165f848dcc367558b461_images.jpg
Product QAI94,Group A,Type Y,Franchise B,M,0.3,200000,547.9452055,Country C,Channel Y,20,298,0.1,3364,664.6153846,199.3846154,06-11-2022,http://assets.myntassets.com/v1/images/style/properties/6222ae36196ec90b30a683927c219428_images.jpg
Product PM3TR,Group C,Type X,Franchise C,M,0.2,100000,273.9726027,Country B,Channel X,10,300,0.05,2975,395.8333333,79.16666667,29-06-2022,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg
Product GZV0X,Group B,Type Y,Franchise A,M,0.2,300000,821.9178082,Country B,Channel Z,20,295,0.15,3265,637.5,127.5,11-12-2022,http://assets.myntassets.com/v1/images/style/properties/5b0a6dd6aadd4d4ba230ff849b36481b_images.jpg
Product WHZY2,Group C,Type Z,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Y,10,328,0.05,3241,570,171,18-06-2022,http://assets.myntassets.com/v1/images/style/properties/2a07ce87fedfca8928f12f3ddf6b7632_images.jpg
Product LQLYX,Group C,Type Z,Franchise B,M,0.3,200000,547.9452055,Country B,Channel Y,30,328,0.1,4606,1620,486,13-01-2022,http://assets.myntassets.com/v1/images/style/properties/b057c9e8d5ccc63369807a12f67a39ac_images.jpg
Product OR05W,Group B,Type Z,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Z,10,308,0.1,3022,435,87,28-04-2022,http://assets.myntassets.com/v1/images/style/properties/f2d705addd04fcf5516aef873254441e_images.jpg
Product G2GHF,Group C,Type Y,Franchise B,M,0.1,100000,273.9726027,Country B,Channel Y,20,291,0.15,3197,633.6363636,63.36363636,01-01-2023,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Bath-Robe_b47ef24153050e66fce7429a01204ca9_images.jpg
Product SR6TX,Group C,Type Z,Franchise C,M,0.1,300000,821.9178082,Country B,Channel Z,30,287,0.05,3554.5,958.6363636,95.86363636,21-01-2022,http://assets.myntassets.com/v1/images/style/properties/Puma-Unisex-White-Cap_d397dc3eb9ff8a12d079f08a9b6c430d_images.jpg
Product UNZSP,Group C,Type X,Franchise B,M,0.3,100000,273.9726027,Country C,Channel X,10,300,0.05,2975,365.3846154,109.6153846,13-01-2022,http://assets.myntassets.com/v1/images/style/properties/70506325cf800559ba06b15300846ea8_images.jpg
Product D3QTC,Group C,Type Z,Franchise A,M,0.2,300000,821.9178082,Country C,Channel Z,30,328,0.05,4723,1852.5,370.5,18-08-2022,http://assets.myntassets.com/v1/images/style/properties/9234f2dacc377d713b7788f670f7bf9d_images.jpg
Product B3XMD,Group B,Type Y,Franchise C,M,0.1,100000,273.9726027,Country C,Channel X,10,283,0.05,2813.5,285,28.5,17-06-2022,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-POKAR-Brown-Flip-Flops_8b247db935e7cfffb8f5a0b8d578f7bf_images.jpg
Product E6TDL,Group A,Type Z,Franchise B,M,0.3,100000,273.9726027,Country B,Channel Z,10,286,0.1,2824,249.2307692,74.76923077,08-05-2022,http://assets.myntassets.com/v1/images/style/properties/1041605c3decc95ef96c970da17ad051_images.jpg
Product TRUOR,Group C,Type X,Franchise A,M,0.3,100000,273.9726027,Country B,Channel X,10,332,0.1,3238,567.6923077,170.3076923,18-11-2022,http://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Navy-Blue-Kurta_269c51a0aa07f814b0d68df6b37d4113_images.jpg
Product 1UCDM,Group C,Type Y,Franchise A,M,0.2,300000,821.9178082,Country B,Channel Z,10,253,0.15,2525.5,21.25,4.25,09-05-2022,http://assets.myntassets.com/v1/images/style/properties/c7a70ae4f57ca4c605f4fabb82c735fc_images.jpg
Product OGXFU,Group A,Type Y,Franchise B,M,0.1,100000,273.9726027,Country A,Channel X,10,304,0.15,2959,417.2727273,41.72727273,18-06-2022,http://assets.myntassets.com/v1/images/style/properties/e87ae94ffdf37c089daaad8d451f6995_images.jpg
Product 3MLO8,Group B,Type Z,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Y,30,300,0.1,3850,1125,225,08-04-2022,http://assets.myntassets.com/v1/images/style/properties/9f8463e724322e0b47cc9f615acab635_images.jpg
Product NQROA,Group B,Type Y,Franchise C,M,0.2,200000,547.9452055,Country B,Channel Z,20,270,0.15,2840,283.3333333,56.66666667,25-12-2022,http://assets.myntassets.com/v1/images/style/properties/11dcaeada4fab2e575c449e922425c5d_images.jpg
Product 7DO58,Group C,Type Y,Franchise B,M,0.3,200000,547.9452055,Country B,Channel Z,10,257,0.05,2566.5,51.15384615,15.34615385,18-12-2022,http://assets.myntassets.com/v1/images/style/properties/3c92594cc9b62cba6a314a9ca9fd1e19_images.jpg
Product 8Y487,Group B,Type Y,Franchise B,M,0.2,200000,547.9452055,Country C,Channel X,30,337,0.1,4849,1957.5,391.5,14-01-2022,http://assets.myntassets.com/v1/images/style/properties/a576a21253c4cc6b7c04426389c1c58f_images.jpg
Product M4R4B,Group C,Type Z,Franchise C,M,0.1,300000,821.9178082,Country C,Channel Y,10,315,0.15,3052.5,502.2727273,50.22727273,14-08-2022,http://assets.myntassets.com/v1/images/style/properties/be1fc833328c2708141568e2476abe81_images.jpg
Product G1FCE,Group C,Type Z,Franchise C,M,0.3,100000,273.9726027,Country A,Channel Z,20,298,0.15,3316,627.6923077,188.3076923,22-08-2022,http://assets.myntassets.com/v1/images/style/properties/01c417703d7775105ba346c691f4700b_images.jpg
Product RKQKH,Group C,Type Y,Franchise A,M,0.2,200000,547.9452055,Country B,Channel X,30,285,0.05,3497.5,831.25,166.25,20-03-2022,http://assets.myntassets.com/v1/images/style/properties/8e6291cb947f1d35eb4ebc3c73baf1eb_images.jpg
Product LH07I,Group C,Type Y,Franchise A,M,0.1,200000,547.9452055,Country C,Channel Y,30,274,0.1,3148,589.0909091,58.90909091,13-05-2022,http://assets.myntassets.com/v1/images/style/properties/2811fe105e63b5795a6442edb85bb6cd_images.jpg
Product 7360Y,Group C,Type Y,Franchise A,M,0.2,300000,821.9178082,Country B,Channel X,20,305,0.05,3545,870.8333333,174.1666667,19-07-2022,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Golden-Sandals_5fddd65067f3c7c0224439efc7a99ac8_images.jpg
Product 1TNWP,Group A,Type X,Franchise B,M,0.2,100000,273.9726027,Country A,Channel Y,10,300,0.15,2925,354.1666667,70.83333333,14-02-2022,http://assets.myntassets.com/v1/images/style/properties/97d87b20b1a8810ee10f617a8a7ccc52_images.jpg
Product 5Z5DO,Group B,Type Y,Franchise A,M,0.2,100000,273.9726027,Country B,Channel Y,10,319,0.05,3155.5,546.25,109.25,03-02-2022,http://assets.myntassets.com/v1/images/style/properties/018b322355f8a44f117488fee256049c_images.jpg
Product 3DSNQ,Group B,Type Y,Franchise B,M,0.1,300000,821.9178082,Country B,Channel X,30,278,0.05,3298,725.4545455,72.54545455,27-01-2022,http://assets.myntassets.com/v1/images/style/properties/93455095a8c1bc951c7bd258b600dfa1_images.jpg
Product IVWGB,Group A,Type Z,Franchise A,M,0.2,200000,547.9452055,Country B,Channel Y,20,309,0.1,3562,885,177,22-10-2022,http://assets.myntassets.com/v1/images/style/properties/Classic-Polo-Mens-Swiss-Yellow-T-shirt_e87fa11cdb977d11d3e673a69f4a63db_images.jpg
Product BE8Y9,Group C,Type Y,Franchise A,M,0.2,200000,547.9452055,Country B,Channel Z,10,262,0.05,2614,95,19,20-12-2022,http://assets.myntassets.com/v1/images/style/properties/7c9e2e7c405128361af34be207a439a2_images.jpg
Product O1N7K,Group C,Type Y,Franchise B,M,0.1,100000,273.9726027,Country B,Channel Y,20,286,0.1,3148,589.0909091,58.90909091,11-07-2022,http://assets.myntassets.com/v1/images/style/properties/749432e06d8d1b969077552ecebd9cd4_images.jpg
Product 2N8S3,Group C,Type Y,Franchise B,M,0.1,100000,273.9726027,Country C,Channel X,10,323,0.15,3120.5,564.0909091,56.40909091,01-08-2022,http://assets.myntassets.com/v1/images/style/properties/465863ba7b810b5ef6c516fe91c77308_images.jpg
Product 13Z0W,Group A,Type X,Franchise B,M,0.1,100000,273.9726027,Country C,Channel Y,30,309,0.15,4004.5,1367.727273,136.7727273,25-11-2022,http://assets.myntassets.com/v1/images/style/properties/9d76cb50cdc99a3519f78164dbc691ae_images.jpg
Product 8SYI5,Group C,Type Y,Franchise B,M,0.1,300000,821.9178082,Country C,Channel Y,10,278,0.15,2738,216.3636364,21.63636364,28-05-2022,http://assets.myntassets.com/v1/images/style/properties/9dc3c008c07a5df5b46622ee5d8579de_images.jpg
Product Z440S,Group C,Type Y,Franchise C,M,0.2,300000,821.9178082,Country C,Channel Y,30,304,0.05,4039,1282.5,256.5,20-10-2022,http://assets.myntassets.com/v1/images/style/properties/a2a3d03e64b5041ab052d5a6b10d282a_images.jpg
Product FI1L5,Group B,Type Y,Franchise A,M,0.1,100000,273.9726027,Country B,Channel Z,10,317,0.05,3136.5,578.6363636,57.86363636,07-02-2022,http://assets.myntassets.com/v1/images/style/properties/b548017b7f2a2d8582c75ac1afeeb28b_images.jpg
Product RD0HN,Group C,Type Z,Franchise C,M,0.2,100000,273.9726027,Country A,Channel Z,10,270,0.1,2680,150,30,29-07-2022,http://assets.myntassets.com/v1/images/style/properties/b590f001fb08f324b17ce869686b27dc_images.jpg
Product TGIF1,Group C,Type Z,Franchise B,M,0.1,100000,273.9726027,Country B,Channel Z,30,262,0.15,2806,278.1818182,27.81818182,14-07-2022,http://assets.myntassets.com/v1/images/style/properties/Hanes-Men-Ultimate-Grey-Brief_0782bb329d30535e2a3bef5657940458_images.jpg
Product V5CNF,Group A,Type Y,Franchise A,M,0.2,300000,821.9178082,Country A,Channel Y,30,267,0.05,2984.5,403.75,80.75,01-08-2022,http://assets.myntassets.com/v1/images/style/properties/Revlon-Super-Lusterous-Mad-About-Mauve-Lipstick-304_82c2b163c41babfca78eeb61693c666d_images.jpg
Product SI89W,Group A,Type Y,Franchise A,M,0.1,200000,547.9452055,Country C,Channel Z,20,262,0.05,2728,207.2727273,20.72727273,02-01-2022,http://assets.myntassets.com/v1/images/style/properties/ebe4131154706db0b3469237133343e2_images.jpg
Product 3BV5M,Group B,Type Y,Franchise B,M,0.2,300000,821.9178082,Country B,Channel X,20,278,0.05,3032,443.3333333,88.66666667,08-08-2022,http://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg
Product YHWHC,Group B,Type Z,Franchise B,M,0.2,100000,273.9726027,Country A,Channel Y,10,302,0.1,2968,390,78,10-07-2022,http://assets.myntassets.com/v1/images/style/properties/Adidas-Unisex-Blue-Capf0fdfddb2e26677c8067afe9586c6cba_images.jpg
Product I29D9,Group C,Type X,Franchise A,M,0.3,200000,547.9452055,Country C,Channel Z,10,252,0.15,2517,13.07692308,3.923076923,17-12-2022,http://assets.myntassets.com/v1/images/style/properties/6c598ee94ff155384130481aec05525e_images.jpg
Product Y11RZ,Group C,Type X,Franchise B,M,0.1,200000,547.9452055,Country B,Channel X,10,305,0.15,2967.5,425,42.5,18-12-2022,http://assets.myntassets.com/v1/images/style/properties/09fca1f67e3f78b18f76473749d93e59_images.jpg
Product 2XNL8,Group C,Type X,Franchise B,M,0.3,200000,547.9452055,Country C,Channel X,10,337,0.05,3326.5,635.7692308,190.7307692,29-01-2022,http://assets.myntassets.com/v1/images/style/properties/9e616458a21ce9d3b0ddf0895b24df0b_images.jpg
Product H86MW,Group B,Type X,Franchise A,M,0.1,200000,547.9452055,Country B,Channel Y,10,333,0.1,3247,679.0909091,67.90909091,18-04-2022,http://assets.myntassets.com/v1/images/style/properties/10d750eb60726aff0c78cd599a20e0ab_images.jpg
Product 32HCH,Group C,Type Z,Franchise C,M,0.1,300000,821.9178082,Country B,Channel Z,30,346,0.15,4948,2225.454545,222.5454545,12-05-2022,http://assets.myntassets.com/v1/images/style/properties/5dfa5ed32e290bbaeedd937ecdaa9a8b_images.jpg
Product UN5AL,Group A,Type Y,Franchise C,M,0.1,100000,273.9726027,Country A,Channel Y,10,286,0.05,2842,310.9090909,31.09090909,03-11-2022,http://assets.myntassets.com/v1/images/style/properties/839c627c80dba9ac4412db3f35a52bb7_images.jpg
Product C2OLP,Group B,Type X,Franchise A,M,0.2,300000,821.9178082,Country C,Channel Y,30,274,0.1,3148,540,108,23-05-2022,http://assets.myntassets.com/v1/images/style/properties/6934c2d1bc11313536fd82a1192a1d33_images.jpg
Product AT6D7,Group C,Type X,Franchise A,M,0.3,300000,821.9178082,Country C,Channel Y,30,289,0.05,3611.5,855,256.5,06-01-2022,http://assets.myntassets.com/v1/images/style/properties/7909093ce4f956a24582b330a249d911_images.jpg
Product MOLEG,Group B,Type X,Franchise C,M,0.3,200000,547.9452055,Country B,Channel X,20,252,0.1,2536,27.69230769,8.307692308,14-11-2022,http://assets.myntassets.com/v1/images/style/properties/9473ae18face7603f7bdb4b6fda3d8e2_images.jpg
Product EAFG0,Group C,Type X,Franchise C,M,0.3,100000,273.9726027,Country C,Channel X,20,337,0.15,3979,1137.692308,341.3076923,09-12-2022,http://assets.myntassets.com/v1/images/style/properties/99808c9bdfee6165a0cec81d0219c1a1_images.jpg
Product I9W3C,Group C,Type Y,Franchise A,M,0.1,200000,547.9452055,Country C,Channel X,10,333,0.05,3288.5,716.8181818,71.68181818,29-03-2022,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Olive-Techno-Ind-Sandal_3e7aa0b204f4317a017dfbefe260700b_images.jpg
Product W4HP6,Group C,Type Z,Franchise A,M,0.3,200000,547.9452055,Country B,Channel Y,30,344,0.05,5179,2060.769231,618.2307692,06-12-2022,http://assets.myntassets.com/v1/images/style/properties/8e3ddd6772fdb8b69c328402aa2baa0c_images.jpg
Product G0UBQ,Group A,Type Y,Franchise C,M,0.3,100000,273.9726027,Country B,Channel Z,20,341,0.05,4229,1330,399,03-04-2022,http://assets.myntassets.com/v1/images/style/properties/cbcfe2066b676f7852c6282f85dfc43b_images.jpg
Product H7NDT,Group A,Type X,Franchise C,M,0.2,100000,273.9726027,Country A,Channel X,20,263,0.15,2721,184.1666667,36.83333333,24-04-2022,http://assets.myntassets.com/v1/images/style/properties/17d5cdd77de6f87ee2451b98f3466d88_images.jpg
Product I5X31,Group A,Type Z,Franchise A,M,0.1,300000,821.9178082,Country A,Channel Y,10,252,0.05,2519,17.27272727,1.727272727,24-02-2022,http://assets.myntassets.com/assets/images/55001/2018/3/9/11520591701090-Lakme-Absolute-Lip-Last-Day-Kiss-Lip-Colour-9831520591701048-1.jpg
Product 5VMSB,Group A,Type X,Franchise A,M,0.2,200000,547.9452055,Country C,Channel Y,10,285,0.1,2815,262.5,52.5,25-07-2022,http://assets.myntassets.com/v1/images/style/properties/f3dc8c5e7e7d7394150506a3f2f417c0_images.jpg
Product TZEDO,Group C,Type Y,Franchise B,M,0.2,300000,821.9178082,Country C,Channel X,30,300,0.15,3775,1062.5,212.5,24-11-2022,http://assets.myntassets.com/v1/images/style/properties/61d4d060e05c3e4ff1771c5e724d6c16_images.jpg
Product 3IGZP,Group B,Type Z,Franchise C,M,0.2,200000,547.9452055,Country A,Channel Z,20,317,0.1,3706,1005,201,06-04-2022,http://assets.myntassets.com/v1/images/style/properties/20e55321f145a292edb4cc9776ea1985_images.jpg
Product RON71,Group B,Type Z,Franchise C,M,0.1,100000,273.9726027,Country B,Channel Y,20,259,0.15,2653,139.0909091,13.90909091,26-09-2022,http://assets.myntassets.com/v1/images/style/properties/e1bba450764df5aed92151be769e42d0_images.jpg
Product OXN2X,Group B,Type X,Franchise A,M,0.2,300000,821.9178082,Country B,Channel X,20,262,0.05,2728,190,38,04-11-2022,http://assets.myntassets.com/v1/images/style/properties/Lovable-Women-Fiona-Purple-Bra_82e37d2949af0a30ff61f6f7fc80cadc_images.jpg
Product 44XBI,Group A,Type Y,Franchise A,M,0.1,200000,547.9452055,Country A,Channel X,10,301,0.05,2984.5,440.4545455,44.04545455,05-12-2022,http://assets.myntassets.com/assets/images/27421/2015/11/23/11448283185049-Jockey-Women-Blue-Lounge-Pants-3621448283184622-1.jpg
Product VLCRE,Group C,Type Z,Franchise B,M,0.1,100000,273.9726027,Country C,Channel Y,20,269,0.15,2823,293.6363636,29.36363636,24-09-2022,http://assets.myntassets.com/v1/images/style/properties/Lotus-Herbals-Neem---Clove-Purifying-Face-Wash_576266f24033ada1522c55008afacea9_images.jpg
Product K48N4,Group B,Type X,Franchise B,M,0.1,300000,821.9178082,Country A,Channel X,20,255,0.15,2585,77.27272727,7.727272727,11-10-2022,http://assets.myntassets.com/v1/images/style/properties/cd2a1ae491facf0acf36443998a0c217_images.jpg
Product XWRSC,Group C,Type X,Franchise A,M,0.3,200000,547.9452055,Country B,Channel Z,10,282,0.1,2788,221.5384615,66.46153846,10-10-2022,http://assets.myntassets.com/v1/images/style/properties/3d8b78b013627f7e9d738ccec2972480_images.jpg
Product 88KLD,Group A,Type Y,Franchise B,M,0.3,100000,273.9726027,Country A,Channel Y,20,275,0.1,2950,346.1538462,103.8461538,23-05-2022,http://assets.myntassets.com/v1/images/style/properties/adc3a5566f4c3e9f3f729ab6f9e44c56_images.jpg
Product 5HFTS,Group C,Type Z,Franchise A,M,0.2,300000,821.9178082,Country A,Channel Y,10,338,0.05,3336,696.6666667,139.3333333,07-02-2022,http://assets.myntassets.com/v1/images/style/properties/62f33289f2a1cbc88d6f8557a2c33638_images.jpg
Product 6ULDT,Group B,Type Z,Franchise B,M,0.1,100000,273.9726027,Country C,Channel Y,10,315,0.05,3117.5,561.3636364,56.13636364,21-08-2022,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Printed-Beige-Sari_b2b862ad19c18dc983c5cf843fe56bcc_images.jpg
Product YYBSR,Group B,Type Y,Franchise A,M,0.3,200000,547.9452055,Country B,Channel Z,10,255,0.05,2547.5,36.53846154,10.96153846,14-11-2022,http://assets.myntassets.com/v1/images/style/properties/e7559ae62df37abf5338b7992aa8c628_images.jpg
Product K0P62,Group C,Type Y,Franchise A,M,0.3,100000,273.9726027,Country A,Channel Y,30,316,0.1,4282,1370.769231,411.2307692,12-01-2022,http://assets.myntassets.com/v1/images/style/properties/f202fe30bd9441e163b7fbcfcb53e8c2_images.jpg
Product 3VS45,Group C,Type X,Franchise A,M,0.2,200000,547.9452055,Country B,Channel Y,30,324,0.05,4609,1757.5,351.5,17-01-2022,http://assets.myntassets.com/v1/images/style/properties/33fe789a39b0590d649cd052e53b80b6_images.jpg
Product T050G,Group C,Type Z,Franchise A,M,0.3,100000,273.9726027,Country C,Channel Z,10,348,0.1,3382,678.4615385,203.5384615,11-09-2022,http://assets.myntassets.com/v1/images/style/properties/3c67058064553299e3cb62b79fedd1af_images.jpg
Product 4RTQH,Group C,Type Z,Franchise A,M,0.1,200000,547.9452055,Country C,Channel Z,20,261,0.15,2687,170,17,29-08-2022,http://assets.myntassets.com/v1/images/style/properties/Lencia-Grey-Swarovski-Pearl-Necklace_8dca921b0f3b46449bbd5bb25f6f3dbb_images.jpg
Product 4WIC3,Group B,Type Z,Franchise B,M,0.1,100000,273.9726027,Country B,Channel X,20,324,0.15,3758,1143.636364,114.3636364,09-06-2022,http://assets.myntassets.com/v1/image/style/properties/45293/Casio-Women-Red-Dial-Watch_1_cc32a942220788a0b74c5708baff1e74.jpg
Product 8J8GQ,Group A,Type X,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Y,20,267,0.15,2789,240.8333333,48.16666667,25-12-2022,http://assets.myntassets.com/v1/images/style/properties/c2f94914c3151fa88bc00b924c9bea22_images.jpg
Product 2NTHW,Group C,Type X,Franchise B,M,0.1,100000,273.9726027,Country A,Channel X,20,271,0.15,2857,324.5454545,32.45454545,11-11-2022,http://assets.myntassets.com/v1/images/style/properties/051884f22b637d9cf40922baecd8ff20_images.jpg
Product YS1GH,Group A,Type Y,Franchise A,M,0.1,300000,821.9178082,Country B,Channel Z,10,310,0.05,3070,518.1818182,51.81818182,30-06-2022,http://assets.myntassets.com/v1/images/style/properties/460dd2adbff063cc226b7146a811e7dc_images.jpg
Product ZNNHU,Group C,Type X,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Z,30,343,0.15,4871.5,1824.230769,547.2692308,07-04-2022,http://assets.myntassets.com/v1/images/style/properties/79e693b484848f12265b4dd4a155fae9_images.jpg
Product XSAGC,Group C,Type X,Franchise B,M,0.2,100000,273.9726027,Country A,Channel X,10,282,0.15,2772,226.6666667,45.33333333,05-11-2022,http://assets.myntassets.com/v1/images/style/properties/907aca262d340d45f49d7d3690fdc953_images.jpg
Product A382Y,Group A,Type Z,Franchise C,M,0.1,100000,273.9726027,Country C,Channel Y,20,323,0.1,3814,1194.545455,119.4545455,04-02-2022,http://assets.myntassets.com/v1/images/style/properties/a82a928bfbfba2e299574580ffa61dc9_images.jpg
Product WZPES,Group A,Type X,Franchise B,M,0.3,300000,821.9178082,Country C,Channel Z,10,342,0.15,3282,601.5384615,180.4615385,20-06-2022,http://assets.myntassets.com/v1/images/style/properties/8fa9232495f9cad5e31338c61f615afb_images.jpg
Product 9K3YF,Group C,Type Y,Franchise A,M,0.2,100000,273.9726027,Country C,Channel Z,10,259,0.05,2585.5,71.25,14.25,30-05-2022,http://assets.myntassets.com/v1/images/style/properties/8ee197c54df34d4e59d56d847139fe49_images.jpg
Product LYDEJ,Group C,Type Z,Franchise B,M,0.2,200000,547.9452055,Country B,Channel X,30,300,0.05,3925,1187.5,237.5,29-07-2022,http://assets.myntassets.com/v1/images/style/properties/2688bbbcf35b0e739e7d9e5039fd6cbf_images.jpg
Product 2SX3A,Group C,Type Y,Franchise C,M,0.2,200000,547.9452055,Country A,Channel X,20,283,0.15,3061,467.5,93.5,22-09-2022,http://assets.myntassets.com/v1/images/style/properties/4a0b8e5cd5f8b9fe8287301280ee204a_images.jpg
Product JH00U,Group B,Type Y,Franchise A,M,0.3,300000,821.9178082,Country A,Channel Y,10,336,0.05,3317,628.4615385,188.5384615,10-02-2022,http://assets.myntassets.com/v1/images/style/properties/dc7e36dcafbb8aeb71dc2ebbd4427ca7_images.jpg
Product SSDGM,Group B,Type Y,Franchise C,M,0.3,300000,821.9178082,Country A,Channel X,10,347,0.15,3324.5,634.2307692,190.2692308,19-01-2022,http://assets.myntassets.com/v1/images/style/properties/Van-Heusen-Unisex-Brown-Sunglasses_2099ffb4f8eb9fd28b80922f653aa42a_images.jpg
Product HTA9A,Group A,Type Y,Franchise A,M,0.2,200000,547.9452055,Country C,Channel Y,30,251,0.05,2528.5,23.75,4.75,31-01-2022,http://assets.myntassets.com/v1/images/style/properties/1e1ddab59626e99f7163c2c8c20743b6_images.jpg
Product EXO31,Group A,Type Z,Franchise B,M,0.1,200000,547.9452055,Country A,Channel Y,30,337,0.1,4849,2135.454545,213.5454545,29-06-2022,http://assets.myntassets.com/v1/images/style/properties/Reebok-Men-Blue-Twist-Sandals_9d151773708628e8efa686c33561b54a_images.jpg
Product WJL35,Group B,Type Z,Franchise B,M,0.3,200000,547.9452055,Country A,Channel Z,10,304,0.15,2959,353.0769231,105.9230769,17-01-2022,http://assets.myntassets.com/v1/images/style/properties/b5fe34a5c5a88054357f33b0d2b4ce46_images.jpg
Product BLJQX,Group A,Type Y,Franchise B,M,0.2,100000,273.9726027,Country B,Channel X,20,325,0.1,3850,1125,225,21-05-2022,http://assets.myntassets.com/v1/images/style/properties/d0e782df1a7287eb68da5806346605db_images.jpg
Product BVYL4,Group C,Type Z,Franchise A,M,0.1,100000,273.9726027,Country C,Channel Z,20,312,0.15,3554,958.1818182,95.81818182,17-04-2022,http://assets.myntassets.com/v1/images/style/properties/4642a9cf2604998cd7665a76a2bf87c1_images.jpg
Product MB9BE,Group C,Type Z,Franchise C,M,0.1,300000,821.9178082,Country A,Channel X,20,347,0.05,4343,1675.454545,167.5454545,31-03-2022,http://assets.myntassets.com/v1/images/style/properties/Rasasi-Men-Emotion-Deo-and-Perfume-Set_f2bcc95e69a60ac6b5473ca68bcc5563_images.jpg
